Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Pinus resinosa,NA,NA,NA,NA,3.043478261,164.6550787,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.608695652,292.5268341,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.652173913,287.4567004,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.492753623,184.2894201,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.31884058,132.5442316,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.391304348,148.1025832,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.463768116,132.7927676,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,NA,NA,2.507246377,117.4332448,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2,317.2064557,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2.275362319,790.9905712,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2.31884058,590.4220451,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2.405797101,256.166022,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2.536231884,230.6662317,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,2.797101449,292.8499309,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.173913043,473.5604331,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.333333333,381.229321,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.536231884,422.7348277,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.463768116,525.5044503,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.666666667,525.8524007,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.130434783,449.4772978,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.115942029,423.7289715,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.246376812,305.6246796,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.739130435,368.2060363,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,5.724637681,385.3301645,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,3.869565217,829.7373285,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.347826087,743.0976902,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.362318841,1000.35727,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.710144928,908.3492552,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,4.710144928,867.1916989,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,5.101449275,1464.647312,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,5.202898551,929.7730556,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,5.768115942,997.6233748,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,5.710144928,889.4853752,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,6.173913043,869.7019122,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,NA,NA,6.217391304,1111.577116,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,188.3758699,NA,NA,829.4027485,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,330.1143368,NA,NA,567.9348287,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,499.4032051,NA,NA,697.6408664,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,606.4219047,NA,NA,677.7503114,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,758.6900515,NA,NA,611.8484989,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1035.248078,NA,NA,783.4019267,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1221.922919,NA,NA,398.750318,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1357.754747,NA,NA,281.2958603,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1422.185117,NA,NA,163.3822292,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1104.478897,NA,NA,248.7989095,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1036.427318,NA,NA,274.0847514,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,1023.445235,NA,NA,274.0012653,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,955.2266842,NA,NA,258.1284772,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,935.3361292,NA,NA,155.106673,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,929.7425629,NA,NA,376.2925665,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,910.2276952,NA,NA,365.8776799,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,780.0311768,NA,NA,272.4359016,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,750.5710316,NA,NA,210.5101129,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,714.8703031,NA,NA,210.2805262,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,698.3087549,NA,NA,127.8589086,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,678.7730157,NA,NA,112.2991932,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,672.2819742,NA,NA,112.2574502,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,669.099068,NA,NA,127.6710649,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,633.5861831,NA,NA,173.744937,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,617.7133949,NA,NA,261.1026683,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,NA,NA,345.7575382,NA,NA,423.9839811,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,182.9597115,NA,NA,294.3196864,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,212.1693984,NA,NA,294.5075301,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,211.9398118,NA,NA,237.9144137,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,218.2847527,NA,NA,201.9423555,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,171.1464333,NA,NA,582.3466107,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,274.4186957,NA,NA,438.959294,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,258.0658627,NA,NA,407.9859639,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,300.6541916,NA,NA,506.00904,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,336.3966632,NA,NA,516.5282842,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,342.4911459,NA,NA,418.8182808,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,329.3420907,NA,NA,377.5761647,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,355.2018993,NA,NA,352.0189931,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,397.1849542,NA,NA,300.8420352,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,527.235372,NA,NA,358.2700122,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,175.2476862,NA,NA,793.3054612,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,295.4989271,NA,NA,835.2363373,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,395.6717693,NA,NA,727.8419504,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,396.2979148,NA,NA,882.1868131,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,435.1815496,NA,NA,867.002785,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,552.0829121,NA,NA,883.1886459,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,380.2581546,NA,NA,928.3859143,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,432.3743306,NA,NA,975.0233174,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
