"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE","DAMAGE_AGENT_CD1_SRS","PCT_AFFECTED_DAMAGE_AGENT1_SRS","DAMAGE_AGENT_CD2_SRS","PCT_AFFECTED_DAMAGE_AGENT2_SRS","DAMAGE_AGENT_CD3_SRS","PCT_AFFECTED_DAMAGE_AGENT3_SRS","AGECD_RMRS","COUNTCHKCD_RMRS"
"2862",176451446010661,102516117010661,2007,26,3,31,20320,3,1,12,6,0.0006,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2863",176451448010661,102516117010661,2007,26,3,31,20320,4,1,12,6,0.0006,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2864",176451450010661,102516117010661,2007,26,3,31,20320,4,1,746,37,0.0033,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2865",176461005010661,102517239010661,2007,26,1,41,20461,1,2,12,6,0.0021,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2866",176461008010661,102517239010661,2007,26,1,41,20461,2,1,746,37,21.0847,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2867",176461012010661,102517239010661,2007,26,1,41,20461,4,2,12,6,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2868",176461009010661,102517239010661,2007,26,1,41,20461,3,2,12,6,0.0028,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2869",178893340010661,102446942010661,2006,26,1,33,20651,1,1,12,6,0.0009,2,NA,2,149.930565,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2870",178893342010661,102446942010661,2006,26,1,33,20651,2,1,12,6,0.0004,1,NA,1,74.965282,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2871",156980948010661,102509865010661,2007,26,2,103,20083,1,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2872",156980950010661,102509865010661,2007,26,2,103,20083,2,1,12,6,0.0017,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2873",156981426010661,102509874010661,2007,26,2,103,20702,1,1,12,6,0.0001,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2874",176524363010661,102514380010661,2007,26,2,103,20446,4,1,12,6,0.9276,43,NA,43,3223.507145,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2875",176457738010661,102514566010661,2007,26,3,39,20216,2,1,12,6,0.0022,5,NA,5,374.826412,7,3,NA,NA,NA,NA,NA,NA,NA,NA
